reg_number,reg_type,club_name,amount_paid,amount_due,payment_mode,payment_status,payment_ref
SINC-0044,Single,Chennai,22000,0,Online,paid,37c43c44-858
SINC-0045,Double,Chennai,30000,0,Online,paid,acc27966-647
SINC-0046,Double,Chennai,30000,0,Online,paid,acc27966-647
SINC-0047,Double,Chennai,30000,0,Online,paid,acc27966-647
SINC-0048,Single,Chennai,22000,0,Online,paid,37c43c44-858
SINC-0049,Single,Chennai,22000,0,Online,paid,37c43c44-858
SINC-0050,Double,Chennai,12000,0,Online,paid,e11fca9f-c60
SINC-0051,Single,Chennai,22000,0,Online,paid,37c43c44-858
SINC-0052,Single,Chennai,22000,0,Online,paid,37c43c44-858
SINC-0053,Double,Chennai,30000,0,Online,paid,acc27966-647
SINC-0054,Double,Chennai,30000,0,Online,paid,acc27966-647
SINC-0055,Double,Chennai,30000,0,Online,paid,acc27966-647
SINC-0056,Double,Chennai,30000,0,Online,paid,acc27966-647
SINC-0057,Single,Chennai,12000,0,Online,paid,e11fca9f-c60
SINC-0058,Double,Chennai,30000,0,Online,paid,acc27966-647
SINC-0059,Single,Chennai,22000,0,Online,paid,37c43c44-858
SINC-0060,Single,Chennai,22000,0,Online,paid,37c43c44-858
SINC-0061,Single,Chennai,25000,0,Online,paid,37c43c44-858
SINC-0062,Single,Chennai,25000,0,Online,paid,37c43c44-858
SINC-0063,Single,Chennai,25000,0,Online,paid,37c43c44-858
SINC-0064,Double,Colombo,30000,0,Online,paid,acc27966-647
SINC-0065,Double,Hyderabad,30000,0,Online,paid,acc27966-647
SINC-0066,Single,Hyderabad,12000,0,Online,paid,e11fca9f-c60
SINC-0067,Double,Hyderabad,30000,0,Online,paid,acc27966-647
SINC-0068,Double,Hyderabad,30000,0,Online,paid,acc27966-647
SINC-0069,Double,Hyderabad,35000,0,Online,paid,acc27966-647
SINC-0070,Single,Hyderabad,15000,0,Online,paid,e11fca9f-c60
SINC-0071,Single,Hyderabad,15000,0,Online,paid,e11fca9f-c60
SINC-0072,Single,Jaipur,12000,0,Online,paid,e11fca9f-c60
SINC-0073,Single,Kashmir,22000,0,Online,paid,37c43c44-858
SINC-0074,Double,Kashmir,30000,0,Online,paid,acc27966-647
SINC-0075,Single,Kashmir,25000,0,Online,paid,37c43c44-858
SINC-0076,Double,Kashmir,35000,0,Online,paid,acc27966-647
SINC-0077,Double,Kashmir,35000,0,Online,paid,acc27966-647
SINC-0078,Double,Kashmir,35000,0,Online,paid,acc27966-647
SINC-0079,Single,Kochi,12000,0,Online,paid,e11fca9f-c60
SINC-0080,Double,Kolkata,30000,0,Online,paid,694e8d2c-396
SINC-0081,Single,Kolkata,22000,0,Online,paid,37c43c44-858
SINC-0082,Single,Kolkata,22000,0,Online,paid,37c43c44-858
SINC-0083,Single,Kolkata,22000,0,Online,paid,37c43c44-858
SINC-0084,Double,Kuala Lumpur,30000,0,Online,paid,acc27966-647
SINC-0085,Double,Mumbai South,30000,0,Online,paid,acc27966-647
SINC-0086,Double,Mumbai South,30000,0,Online,paid,acc27966-647
SINC-0087,Double,Mumbai South,30000,0,Online,paid,acc27966-647
SINC-0088,Single,Mumbai South,22000,0,Online,paid,37c43c44-858
SINC-0089,Single,Mumbai South,22000,0,Online,paid,37c43c44-858
SINC-0090,Single,Mumbai South,12000,0,Online,paid,e11fca9f-c60
SINC-0091,Double,Mysuru,30000,0,Online,paid,acc27966-647
SINC-0092,Double,Mysuru,30000,0,Online,paid,acc27966-647
SINC-0093,Single,Mysuru,22000,0,Online,paid,37c43c44-858
SINC-0094,Double,Mysuru,30000,0,Online,paid,acc27966-647
SINC-0095,Single,Mysuru,22000,0,Online,paid,37c43c44-858
SINC-0096,Double,Mysuru,30000,0,Online,paid,acc27966-647
SINC-0097,Single,New Delhi,22000,0,Online,paid,37c43c44-858
SINC-0098,Single,New Delhi,22000,0,Online,paid,37c43c44-858
SINC-0099,Single,New Delhi,22000,0,Online,paid,37c43c44-858
SINC-0100,Single,New Delhi,22000,0,Online,paid,37c43c44-858
SINC-0101,Double,Pune,30000,0,Online,paid,acc27966-647
SINC-0102,Double,Pune,30000,0,Online,paid,acc27966-647
SINC-0103,Double,Pune,30000,0,Online,paid,acc27966-647
SINC-0104,Double,Pune,30000,0,Online,paid,acc27966-647
SINC-0105,Double,Pune,30000,0,Online,paid,acc27966-647
SINC-0106,Single,Pune,22000,0,Online,paid,37c43c44-858
SINC-0107,Double,Pune,30000,0,Online,paid,acc27966-647
SINC-0108,Double,Pune,30000,0,Online,paid,acc27966-647
SINC-0109,Double,Pune,30000,0,Online,paid,acc27966-647
SINC-0110,Single,Pune,22000,0,Online,paid,37c43c44-858
SINC-0111,Double,Pune,30000,0,Online,paid,acc27966-647
SINC-0112,Single,Pune,0,0,Online,paid,
SINC-0113,Single,Pune,35000,0,Online,paid,acc27966-647
SINC-0114,Double,Surat,30000,0,Online,paid,acc27966-647
